兹 [U+5179]
养 [U+517B]
兼 [U+517C]
兽 [U+517D]
冀 [U+5180]
内 [U+5185]
円 [U+5186]
冈 [U+5188]
冉 [U+5189]
冊 [U+518A]
册 [U+518C]
再 [U+518D]
冒 [U+5192]
冕 [U+5195]
冗 [U+5197]
写 [U+5199]
军 [U+519B]
农 [U+519C]
冠 [U+51A0]
冤 [U+51A4]
冪 [U+51AA]
冬 [U+51AC]
冯 [U+51AF]
冰 [U+51B0]
冲 [U+51B2]
决 [U+51B3]
况 [U+51B5]
冶 [U+51B6]
冷 [U+51B7]
冻 [U+51BB]
净 [U+51C0]
凄 [U+51C4]
准 [U+51C6]
凉 [U+51C9]
凋 [U+51CB]
凌 [U+51CC]
凍 [U+51CD]
减 [U+51CF]
凑 [U+51D1]
凛 [U+51DB]
凜 [U+51DC]
凝 [U+51DD]
几 [U+51E0]
凡 [U+51E1]
凤 [U+51E4]
凭 [U+51ED]
凯 [U+51EF]
凰 [U+51F0]
凱 [U+51F1]
凳 [U+51F3]
凶 [U+51F6]
凸 [U+51F8]
凹 [U+51F9]
出 [U+51FA]
击 [U+51FB]
函 [U+51FD]
凿 [U+51FF]
刀 [U+5200]
刁 [U+5201]
刃 [U+5203]
分 [U+5206]
切 [U+5207]
刊 [U+520A]
刑 [U+5211]
划 [U+5212]
列 [U+5217]
刘 [U+5218]
则 [U+5219]
刚 [U+521A]
创 [U+521B]
初 [U+521D]
删 [U+5220]
判 [U+5224]
別 [U+5225]
刨 [U+5228]
利 [U+5229]
刪 [U+522A]
别 [U+522B]
刮 [U+522E]
到 [U+5230]
制 [U+5236]
刷 [U+5237]
券 [U+5238]
刹 [U+5239]
刺 [U+523A]
刻 [U+523B]
刽 [U+523D]
剁 [U+5241]
剂 [U+5242]
剃 [U+5243]
則 [U+5247]
削 [U+524A]
前 [U+524D]
剐 [U+5250]
剑 [U+5251]
剔 [U+5254]
剖 [U+5256]
剛 [U+525B]
剝 [U+525D]
剥 [U+5265]
剧 [U+5267]
剩 [U+5269]
剪 [U+526A]
剮 [U+526E]
副 [U+526F]
割 [U+5272]
創 [U+5275]
剿 [U+527F]
劃 [U+5283]
